tarih,deger_(kwh)
2013-01-31,3318590
2013-02-28,3560870
2013-03-31,3933510
2013-04-30,3565440
2013-05-31,3540570
2013-06-30,3664980
2013-07-31,3418880
2013-08-31,3717630
2013-09-30,3494830
2013-10-31,3748600
2013-11-30,3592790
2013-12-31,3630260
2014-01-31,3521607
2014-02-28,3254024
2014-03-31,3806078
2014-04-30,3739163
2014-05-31,3752807
2014-06-30,3393919
2014-07-31,3310111
2014-08-31,3209762
2014-09-30,2998141
2014-10-31,3522822
2014-11-30,3118448
2014-12-31,3469354
2015-01-31,3654516
2015-02-28,3388348
2015-03-31,3526123
2015-04-30,3251316
2015-05-31,3040637
2015-06-30,3512409
2015-07-31,3924677
2015-08-31,3957556
2015-09-30,3755894
2015-10-31,3980620
2015-11-30,3608146
2015-12-31,3632001
2016-01-31,3961203
2016-02-29,3645830
2016-03-31,3947694
2016-04-30,3675201
2016-05-31,3929520
2016-06-30,3692970
2016-07-31,3864480
2016-08-31,3700660
2016-09-30,3836320
2016-10-31,3759240
2016-11-30,3785050
2016-12-31,3850390
2017-01-31,3724440
2017-02-28,3502450
2017-03-31,3658880
2017-04-30,3800000
2017-05-31,3558000
2017-06-30,3677850
2017-07-31,3710300
2017-08-31,3457420
2017-09-30,3333030
2017-10-31,3955380
2017-11-30,3802610
2017-12-31,3903160
