ucretsiz_wifi_noktalari_adi,enlem,boylam
Eski SGK Binası,37.870055,32.482229
Başkanlık Özel Kalem (Alman Evleri),37.869196,32.477103
Elkart Müdürlüğü,37.873734,32.487142
Fen İşleri Daire Başkanlığı,37.937266,32.512032
Millet Kıraathanesi,37.874856,32.489072
İrfan Medeniyeti Araştırma Merkezi,37.870301,32.511059
Kültürpark Zabıta,37.875132,32.487602
Mezar Taşları Müzesi,37.867368,32.512122
Mevlana Kültür Merkezi,37.869484,32.515774
Park Bahçe Daire Başkanlığı İdari Bina,37.902135,32.498297
Raylı Sistem Daire Başkanlığı,37.918236,32.507006
Tarımsal Hizmetler,37.874255,32.486216
Tatlıcak Tesisleri,37.868926,32.573669
Aydınlık İtfaiye,37.916712,32.490956
Hayvan Pazarı,37.869902,32.554194
Kültürpark Kadem,37.876104,32.490703
Kılıçarslan Toplantı Salonu,37.875666,32.490966
Koyunoğlu Müzesi,37.866228,32.510781
Sanat Galerisi,37.873066,32.487191
Hava Hastanesi,37.869985,32.482231
Ecdat Parkı Müdüriyet,37.95188850500175,32.50039575331569
Kültürpark,37.873738932422484,32.48924876895429
Meram Tarihi Köprü,37.85334033974997,32.42142448891697
Forum Caddesi,37.87063442801936,32.48561672001946
Hızlı Tren Önü,37.86734144160687,32.47658042351505
Kayalıpark,37.87170661832277,32.49833193693298
Karatay Terminali,37.86678422303372,32.50170561676521
Meram Eğitim Araştırma Hastanesi Önü,37.86171654283621,32.44572580508325
Kent Meydanı,37.87516595672724,32.49167487284137
Mevlana Meydanı,37.870855082909436,32.50431617506748
Zafer Yaya Yolu,37.87064082823526,32.48986893475428
Otogar,37.95042437006596,32.50952694277962
Akyokuş - Kafem,37.88040816751195,32.42612179521131
Japon Parkı,37.978549778081394,32.518478090168486
Makro Kafem,37.87872523736645,32.48530722453434
Karaaslan Hadimi Park,37.80870887076795,32.516562123824585
Kozağaç Park,37.80670309047129,32.42778582891994
Aymanas Komek,37.848744,32.498631
Selçuklu Asem,37.895602,32.477190
Alaaddin Komek,37.872128,32.494549
Mümine Hatun,37.931958,32.501502
Bosna Komek,38.010700,32.530974
Keykavus Kütüphane,37.879295,32.485589
Meram Asem,37.856507,32.431197
Akkise Komek,37.239062,32.120853
Akşehir Asem,38.354544,31.429674
Akşehir Komek,38.349212,31.418137
Araplar Komek,37.889448,32.508145
Bozkır Asem,37.187823,32.242058
Bozkır Komek,37.189622,32.244784
Cihanbeyli Komek,38.655464,32.920343
Çumra Asem,37.574086,32.782219
Doğanhisar Komek,38.146376,31.676871
Emirgazi Komek,37.903430,33.836010
Ereğli Kıraathane,37.511850,34.049780
Ereğli Asem,37.505431,34.053787
Ereğli Komek,37.512437,34.055582
Ertuğrul Gazi Komek,37.840471,32.487132
Gödene Toki Komek,37.740313,32.402729
Harmancık Komek,37.836825,32.454778
Hüyük Asem,37.949807,31.596402
Hüyük Komek,37.949776,31.596511
İçeri Çumra Komek,37.579941,32.659890
Ilgın Asem,38.279433,31.912491
Ilgın Komek,38.281687,31.917967
Kadınhanı Komek,38.239784,32.225987
Karapınar Komek,37.716994,33.548558
Karatay Asem,37.898192,32.521222
Karatay Komek,37.874523,32.539463
Kulu Asem,39.092946,33.077440
Kulu Komek,39.091908,33.075225
Mengene Asem,37.859999,32.508369
Sancak Komek,37.958793,32.524315
Sarayönü Komek,38.265044,32.399592
Yalıhüyük Asem,37.297530,32.086059
Yunak Komek,38.811246,31.737223
Alakova Komek,37.773056,32.500741
Bilim Merkezi,37.987429,32.593510
Bosna Gençlik Merkezi,38.008588,32.520797
Büyükşehir Hastanesi,37.878105,32.488765
Japon Parkı - Kafem,37.97833965574564,32.51981645652727
Kozağaç Park - 2,37.8057080940925,32.426848904553644
Kültürpark - 2,37.87460745936114,32.4886610455857
Ecdat Parkı Müdüriyet - 2,37.953332423149085,32.500958172801525
