ilceler,elektrik_kontagi,lpg/dogalgaz,ocak/soba/kalorifer/kazan,baca_tutusmasi,sigara/kibrit,akaryakit,patlayici_madde,yildirim_dusmesi,sabotaj,diger,anlasilamadi,toplam
SELÇUKLU,75,9,27,9,472,0,1,0,24,139,10,766
MERAM,93,6,37,14,578,0,0,0,33,143,2,906
KARATAY,77,5,30,6,724,0,0,0,14,102,21,979
SANCAK,33,1,6,5,269,0,0,1,3,33,12,363
AKÖREN,3,0,2,3,45,0,13,0,0,3,0,69
AKŞEHİR,11,7,6,13,3,1,0,0,11,424,40,516
ALTINEKİN,14,0,3,1,18,0,0,0,0,20,28,84
BEYŞEHİR,12,3,8,10,216,27,0,0,3,262,27,568
BOZKIR,1,0,0,0,0,0,0,0,1,58,0,60
CİHANBEYLİ,5,1,0,2,0,0,1,1,1,134,1,146
ÇELTİK,5,0,0,2,0,0,0,0,0,94,4,105
ÇUMRA,35,1,13,6,234,1,1,0,2,33,11,337
DERBENT,0,0,0,0,0,0,0,0,0,16,6,22
DEREBUCAK,0,0,0,0,9,0,0,0,0,2,0,11
DOĞANHİSAR,1,0,5,3,109,0,0,0,1,0,1,120
EMİRGAZİ,13,0,0,0,43,0,0,0,0,6,14,76
EREĞLİ,33,5,11,11,405,1,8,0,1,177,0,652
GÜNEYSINIR,1,0,1,0,12,0,8,0,0,2,37,61
HADİM,3,0,0,0,0,0,0,0,0,37,3,43
HÜYÜK,1,0,0,1,8,0,0,0,2,222,5,239
ILGIN,15,2,11,4,118,3,4,0,16,24,6,203
KADINHANI,35,1,0,3,140,41,0,0,2,7,0,229
KARAPINAR,94,2,44,14,237,1,0,0,3,35,0,430
KULU,2,0,0,2,0,0,0,0,0,176,1,181
SARAYÖNÜ,24,0,5,2,27,0,0,0,9,94,0,161
SEYDİŞEHİR,12,3,13,3,32,1,0,2,1,295,1,363
TAŞKENT,3,0,1,1,20,0,0,1,0,19,0,45
YALIHÜYÜK,1,0,1,2,2,1,0,0,0,55,1,63
YUNAK,5,2,3,3,27,0,0,0,0,65,102,207
