ilceler;elk._kontak;lpg_d.gaz_vb.;ocak_sob._kalo._kaz.;baca_tut.;sig._ve_kibr.;akary.;pat._madd.;yıld._dus.;sabotaj;diger;anlasılamadı;tplm
SELÇUKLU;76;9;28;8;468;0;0;0;17;112;7;725
MERAM;73;3;50;13;574;0;0;0;24;100;10;847
KARATAY;85;7;28;8;658;0;0;0;28;149;10;973
SANCAK;28;4;5;1;152;0;0;0;6;42;6;244
AKÖREN;6;0;3;5;20;1;0;0;0;8;12;55
AKŞEHİR;18;3;6;21;3;3;0;0;9;475;2;540
ALTINEKİN;23;0;1;7;26;0;0;1;0;2;41;101
BEYŞEHİR;9;4;9;14;475;1;0;1;0;92;46;651
BOZKIR;8;0;1;6;5;0;0;0;0;25;7;52
CİHANBEYLİ;8;1;0;2;0;0;0;0;1;204;1;217
ÇELTİK;4;0;0;3;0;0;0;0;0;130;0;137
ÇUMRA;25;0;14;6;228;4;0;0;3;33;52;365
DERBENT;0;0;1;0;0;0;0;0;0;27;8;36
DEREBUCAK;1;0;0;1;13;0;0;0;0;2;3;20
DOĞANHİSAR;3;0;8;0;133;0;0;0;3;1;6;154
EMİRGAZİ;18;0;11;0;36;0;0;0;0;10;0;75
EREĞLİ;48;1;22;7;281;0;0;0;3;85;3;450
GÜNEYSINIR;1;0;1;3;4;0;0;0;0;2;27;38
HADİM;0;0;1;2;2;1;0;0;0;27;7;40
HÜYÜK;1;1;1;6;1;0;0;0;1;33;227;271
ILGIN;19;4;15;9;183;0;0;0;19;18;16;283
KADINHANI;44;0;1;6;215;33;0;0;0;2;0;301
KARAPINAR;86;0;50;4;154;2;0;0;2;75;0;373
KULU;6;1;0;11;1;0;0;0;2;134;53;208
SARAYÖNÜ;17;0;7;6;70;0;0;0;6;32;14;152
SEYDİŞEHİR;21;2;24;3;8;0;0;0;8;250;0;316
TAŞKENT;4;0;1;2;13;0;0;0;0;10;1;31
YALIHÜYÜK;3;0;0;1;0;0;0;0;0;55;0;59
YUNAK;4;0;5;4;96;0;0;0;0;82;19;210
